"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","ExternalReference","DistributionChannel","UserLanguage","Q1.2_First.Click","Q1.2_Last.Click","Q1.2_Page.Submit","Q1.2_Click.Count","Q2.1_Browser","Q2.1_Version","Q2.1_Operating.System","Q2.1_Resolution","zipcode","citizen","gender","age","faminc","faminc150","race","Q2.10_First.Click","Q2.10_Last.Click","Q2.10_Page.Submit","Q2.10_Click.Count","pid","pidlean","redist_incdiff","speedtrap","redist_taxes","redist_housing","trust_experts_univ","trust_econ_multi","trust_2","trust_3","trust_4","trust_5","trust_6","trust_7","trust_8","trust_14","trust_15","trust_16","trust_17","Q46","build_control_1","build_control_6","build_control_7","build_control_5","build_control_4","build_economist_1","build_economist_6","build_economist_7","build_economist_5","build_economist_4","build_univ_1","build_univ_6","build_univ_7","build_univ_5","build_univ_4","Q14.1","educ","employment","student","marital","marital_7_TEXT","Q14.7_First.Click","Q14.7_Last.Click","Q14.7_Page.Submit","Q14.7_Click.Count","manip_econ","manip_resp","ownrent","tenure_length","housing_cost","open_ended","svy_comments","PID","psid","rnid","study","rid","RISN","opp","Q_TotalDuration","beforeafter","random","gc","term","zip","Quota"
"1/9/18 14:38","1/9/18 14:39",0,100,38,1,"1/9/18 14:39","R_1MJQgx5xjd9EdKR",NA,"anonymous","EN",0,0,1.47,0,"Chrome","63.0.3239.132","Macintosh","1440x900",43512,1,1,99,2,NA,"1",1.115,1.115,1.992,1,3,2,2,2,1,1,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",38,0,5645145,4,"attn",43512,NA
"1/9/18 14:38","1/9/18 14:40",0,100,144,1,"1/9/18 14:40","R_2UVnsZpqPVVCF5L",NA,"anonymous","EN",0,0,2.111,0,"Chrome","63.0.3239.132","Windows NT 10.0","1920x1080",2720,1,1,101,6,NA,"1",0.69,0.69,1.411,1,2,NA,2,4,1,4,"1","6",3,2,2,4,4,2,3,2,1,1,2,"4",NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,NA,NA,NA,NA,5,1,3,2,"",0.914,0.914,1.744,1,1,1,4,2009,3,"Thanks","Thanks",NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",144,1,9969328,4,"Speeder",2720,NA
"1/9/18 14:38","1/9/18 14:40",0,100,133,1,"1/9/18 14:40","R_3jeMjxymILHrsvv",NA,"anonymous","EN",0,0,3.994,0,"Chrome","63.0.3239.132","Windows NT 6.1","1366x768",22192,1,1,100,4,NA,"1",0.976,0.976,1.758,1,2,NA,10,4,1,6,"4","1",1,3,2,1,2,2,1,1,2,2,2,"4",2,3,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,1,1,"",1.016,2.935,3.815,4,1,1,4,2015,8,"very good","thanks",NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",133,1,7174222,4,"Speeder",22192,NA
"1/9/18 14:38","1/9/18 14:40",0,100,157,1,"1/9/18 14:40","R_3P6nlxtgaRGse2F",NA,"anonymous","EN",0,0,1.15,0,"Chrome","63.0.3239.132","Windows NT 10.0","1920x1080",15211,1,1,99,12,NA,"1",0.62,0.62,1.599,1,3,3,8,4,1,1,"4,5","4",3,4,1,3,1,2,3,2,2,2,3,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,3,4,NA,2,7,3,1,"",0.7,0.7,2.654,1,1,2,5,2006,5,"N/A","N/A",NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",157,0,6923663,4,"Speeder",15211,NA
"1/9/18 14:38","1/9/18 14:40",0,100,159,1,"1/9/18 14:40","R_2v2nPI9foRvnsxo",NA,"anonymous","EN",0,0,1.4,0,"Firefox","57","Windows NT 10.0","1365x768",98003,1,2,100,2,NA,"1",4.643,4.643,5.737,1,1,NA,8,4,1,4,"4","4",2,2,3,3,3,2,2,2,2,3,3,"1,4,5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,NA,2,4,3,1,"",0.819,2.123,2.879,3,3,3,5,2010,5,"Afforadble housing should be placed around my area much more, theres a problem with homeless.","na",NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",159,1,8763270,4,"Speeder",98003,NA
"1/9/18 14:38","1/9/18 14:40",0,100,172,1,"1/9/18 14:40","R_2dgu1lzajKBMZOx",NA,"anonymous","EN",0,0,3.517,0,"Chrome","63.0.3239.132","Windows NT 6.1","1920x1080",74820,1,1,101,10,NA,"1",0,0,2.891,0,2,NA,11,4,2,5,"1","1",1,2,2,2,2,1,2,2,2,2,2,"3",5,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,3,2,"",0,0,2.653,0,1,3,4,2013,6,"I don't have any immediate thoughts, good or bad.","N/A",NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",172,1,5851439,4,"Speeder",74820,NA
"1/9/18 14:40","1/9/18 14:41",0,100,47,1,"1/9/18 14:41","R_2rSlfpEK1P2S7ex",NA,"anonymous","EN",0,0,3.12,0,"Chrome","63.0.3239.132","Macintosh","1680x1050",19121,1,1,99,6,NA,"1,2",2.961,3.227,4.156,2,1,NA,10,2,2,5,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",47,0,5947304,4,"attn",19121,NA
"1/9/18 14:38","1/9/18 14:41",0,100,187,1,"1/9/18 14:41","R_3n2Gil12R5Zt1hS",NA,"anonymous","EN",0,0,4.666,0,"Chrome","63.0.3239.84","Windows NT 10.0","1366x768",94610,1,1,102,9,NA,"1",1.528,1.528,2.769,1,1,NA,8,4,1,4,"1","1",2,2,3,3,3,2,2,2,2,2,2,"4",2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,3,2,"",1.459,1.459,2.7,1,1,3,5,2003,7,"Housing is a critical issue where I live. ","N/A",NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",187,1,4763922,4,"Speeder",94610,NA
"1/9/18 14:38","1/9/18 14:41",0,100,196,1,"1/9/18 14:41","R_3HCtnsM522yVXKb",NA,"anonymous","EN",0,0,4.902,0,"Chrome","63.0.3239.132","Windows NT 10.0","1366x768",95632,1,2,100,2,NA,"1",0,0,3.759,0,1,NA,8,4,1,1,"1","4",2,3,4,3,4,2,2,2,2,2,3,"1,4,7",2,3,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,1,"",0.987,0.987,2.032,1,1,3,5,2015,7,"None","None",NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",196,0,9890678,4,"Speeder",95632,NA
"1/9/18 14:38","1/9/18 14:41",0,100,217,1,"1/9/18 14:41","R_2zTkWc5fEwPJdlk",NA,"anonymous","EN",0,0,2.747,0,"Chrome","63.0.3239.132","Windows NT 10.0","1536x864",97301,1,2,100,1,NA,"1",1.293,1.293,2.315,1,1,NA,2,4,1,1,"1","1",3,3,3,4,4,3,2,2,2,2,3,"1,5,7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,3,3,NA,3,1,3,5,"",4.626,4.626,5.63,1,1,1,5,2016,3,"N/A","N/A",NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",217,0,5985752,1,"",97301,NA
