varname	desc	newname
V1	ResponseID	ResponseID
V2	ResponseSet	ResponseSet
V3	Name	Name
V4	ExternalDataReference	ExternalDataReference
V5	EmailAddress	EmailAddress
V7	Status	Status
V8	StartDate	StartDate
V9	EndDate	EndDate
V10	Finished	Finished
PID	PID	PID
psid	psid	psid
rnid	rnid	rnid
study	study	study
rid	rid	rid
RISN	RISN	RISN
opp	opp	opp
Q_TotalDuration	Q_TotalDuration	Q_TotalDuration
gc	gc	gc
Quota	Quota	Quota
beforeafter	beforeafter	beforeafter
random	random	random
Atlanta_zips	Atlanta_zips	Atlanta_zips
Boston_zips	Boston_zips	Boston_zips
Chicago_zips	Chicago_zips	Chicago_zips
DFW_zips	DFW_zips	DFW_zips
Denver_zips	Denver_zips	Denver_zips
Detroit_zips	Detroit_zips	Detroit_zips
Houston_zips	Houston_zips	Houston_zips
LA_zips	LA_zips	LA_zips
Miami_zips	Miami_zips	Miami_zips
Minneapolis_zips	Minneapolis_zips	Minneapolis_zips
NYNJ_zips	NYNJ_zips	NYNJ_zips
Philadelphia_zips	Philadelphia_zips	Philadelphia_zips
Phoenix_zips	Phoenix_zips	Phoenix_zips
Riverside_zips	Riverside_zips	Riverside_zips
SanDiego_zips	SanDiego_zips	SanDiego_zips
SanFran_zips	SanFran_zips	SanFran_zips
Seattle_zips	Seattle_zips	Seattle_zips
StLouis_zips	StLouis_zips	StLouis_zips
Tampa_zips	Tampa_zips	Tampa_zips
Washington_zips	Washington_zips	Washington_zips
term	term	term
MSA	MSA	MSA
Region	Region	Region
Race	Race	Race
zip	zip	zip
Q1.1	Instructions      This is a scholarly research study conducted by members of the Department of Po...	instructions
Q1.2_1	Timing-First Click	Q1.2_1
Q1.2_2	Timing-Last Click	Q1.2_2
Q1.2_3	Timing-Page Submit	Q1.2_3
Q1.2_4	Timing-Click Count	Q1.2_4
Q2.1_1_TEXT	Browser Meta Info-Browser	Q2.1_1_TEXT
Q2.1_2_TEXT	Browser Meta Info-Version	Q2.1_2_TEXT
Q2.1_3_TEXT	Browser Meta Info-Operating System	Q2.1_3_TEXT
Q2.1_4_TEXT	Browser Meta Info-Screen Resolution	Q2.1_4_TEXT
Q2.1_5_TEXT	Browser Meta Info-Flash Version	Q2.1_5_TEXT
Q2.1_6_TEXT	Browser Meta Info-Java Support	Q2.1_6_TEXT
Q2.1_7_TEXT	Browser Meta Info-User Agent	Q2.1_7_TEXT
Q2.2	"First, what is your 5-digit ZIP code?"	zip_selfreport
Q2.3	Are you a United States citizen?	citizen
Q2.4	"In talking to people about elections, we often find that a lot of people were not able to vote be..."	voted2016
Q2.5	What is your gender?	gender
Q2.6	What is your age group?	agegrp
Q2.7	"Now, for statistical purposes only, we have a question about your income. Last year (in 2016), wh..."	income
Q2.8	"We see you make over $150,000. Can you tell us which best represents your total family income bef..."	income_over150
